id_documento,id_siniestro,tipo_documento,entregado,legible,fecha_emision,inconsistencia_detectada,observacion
DOC-0000001,SIN-001767,Historia clínica,1,1,2022-11-24,0,
DOC-0000002,SIN-001767,Facturas médicas,1,1,2022-11-21,0,
DOC-0000003,SIN-001767,Informe médico,1,1,2022-11-24,1,Monto en factura difiere del reclamado
DOC-0000004,SIN-001767,Recetas prescritas,1,1,2022-11-20,0,
DOC-0000005,SIN-001767,Cédula del asegurado,1,1,2022-11-23,0,
DOC-0000006,SIN-011920,Historia clínica,1,1,2023-12-31,0,
DOC-0000007,SIN-011920,Facturas médicas,1,1,2024-01-03,0,
DOC-0000008,SIN-011920,Informe médico,1,1,2024-01-03,0,
DOC-0000009,SIN-011920,Recetas prescritas,1,1,2024-01-01,0,
DOC-0000010,SIN-011920,Cédula del asegurado,1,1,2024-01-03,0,
DOC-0000011,SIN-008910,Parte policial,0,1,2022-12-23,0,
DOC-0000012,SIN-008910,Fotografías del daño,1,1,2022-12-25,0,
DOC-0000013,SIN-008910,Proforma de reparación,0,1,2022-12-26,0,
DOC-0000014,SIN-008910,Copia matrícula,1,1,2022-12-25,0,
DOC-0000015,SIN-008910,Cédula del asegurado,1,1,2022-12-22,0,
DOC-0000016,SIN-004964,Parte policial,1,1,2024-11-08,0,
DOC-0000017,SIN-004964,Fotografías del daño,1,1,2024-11-07,0,
DOC-0000018,SIN-004964,Proforma de reparación,0,0,2024-11-04,0,
DOC-0000019,SIN-004964,Copia matrícula,1,1,2024-11-09,0,
DOC-0000020,SIN-004964,Cédula del asegurado,1,1,2024-11-07,0,
DOC-0000021,SIN-010100,Parte policial,1,1,2021-08-29,0,
DOC-0000022,SIN-010100,Fotografías del daño,1,1,2021-08-29,0,
DOC-0000023,SIN-010100,Proforma de reparación,1,1,2021-08-30,0,
DOC-0000024,SIN-010100,Copia matrícula,1,1,2021-08-30,0,
DOC-0000025,SIN-010100,Cédula del asegurado,1,1,2021-08-30,0,
DOC-0000026,SIN-002755,Informe técnico,1,1,2023-02-10,0,
DOC-0000027,SIN-002755,Fotografías del daño,1,1,2023-02-11,0,
DOC-0000028,SIN-002755,Facturas,1,1,2023-02-09,0,
DOC-0000029,SIN-002755,Parte policial,0,0,2023-02-11,0,
DOC-0000030,SIN-002755,Cédula del asegurado,1,1,2023-02-09,0,
DOC-0000031,SIN-002859,Parte policial,1,1,2025-10-10,0,
DOC-0000032,SIN-002859,Fotografías del daño,1,0,2025-10-06,0,
DOC-0000033,SIN-002859,Proforma de reparación,1,1,2025-10-11,0,
DOC-0000034,SIN-002859,Copia matrícula,1,1,2025-10-07,0,
DOC-0000035,SIN-002859,Cédula del asegurado,1,1,2025-10-07,0,
DOC-0000036,SIN-005569,Historia clínica,0,0,2021-02-11,0,
DOC-0000037,SIN-005569,Facturas médicas,1,1,2021-02-13,0,
DOC-0000038,SIN-005569,Informe médico,1,1,2021-02-15,0,
DOC-0000039,SIN-005569,Recetas prescritas,1,1,2021-02-14,1,Contradicción entre parte policial y narrativa del asegurado
DOC-0000040,SIN-005569,Cédula del asegurado,0,0,2021-02-11,0,
DOC-0000041,SIN-011674,Parte policial,1,1,2021-07-02,0,
DOC-0000042,SIN-011674,Fotografías del daño,1,1,2021-06-28,0,
DOC-0000043,SIN-011674,Proforma de reparación,1,0,2021-06-28,0,
DOC-0000044,SIN-011674,Copia matrícula,1,1,2021-07-02,0,
DOC-0000045,SIN-011674,Cédula del asegurado,1,1,2021-07-02,0,
DOC-0000046,SIN-005779,Parte policial,1,1,2024-03-24,0,
DOC-0000047,SIN-005779,Fotografías del daño,1,1,2024-03-24,0,
DOC-0000048,SIN-005779,Proforma de reparación,1,1,2024-03-20,0,
DOC-0000049,SIN-005779,Copia matrícula,1,1,2024-03-21,0,
DOC-0000050,SIN-005779,Cédula del asegurado,1,1,2024-03-24,0,
DOC-0000051,SIN-008283,Historia clínica,1,1,2025-12-09,0,
DOC-0000052,SIN-008283,Facturas médicas,1,1,2025-12-07,0,
DOC-0000053,SIN-008283,Informe médico,1,1,2025-12-12,0,
DOC-0000054,SIN-008283,Recetas prescritas,1,1,2025-12-09,0,
DOC-0000055,SIN-008283,Cédula del asegurado,1,1,2025-12-12,0,
DOC-0000056,SIN-010475,Historia clínica,1,1,2025-02-03,0,
DOC-0000057,SIN-010475,Facturas médicas,1,1,2025-02-02,1,Firma del médico no verificada
DOC-0000058,SIN-010475,Informe médico,1,1,2025-01-31,0,
DOC-0000059,SIN-010475,Recetas prescritas,1,1,2025-02-01,1,Proforma de taller en lista de observación
DOC-0000060,SIN-010475,Cédula del asegurado,1,1,2025-01-29,0,
DOC-0000061,SIN-007208,Parte policial,0,0,2021-07-08,0,
DOC-0000062,SIN-007208,Fotografías del daño,1,1,2021-07-11,0,
DOC-0000063,SIN-007208,Proforma de reparación,0,0,2021-07-08,0,
DOC-0000064,SIN-007208,Copia matrícula,1,1,2021-07-12,0,
DOC-0000065,SIN-007208,Cédula del asegurado,1,1,2021-07-11,0,
DOC-0000066,SIN-000248,Historia clínica,1,1,2021-02-22,1,
DOC-0000067,SIN-000248,Facturas médicas,1,1,2021-02-22,0,
DOC-0000068,SIN-000248,Informe médico,0,0,2021-02-18,0,
DOC-0000069,SIN-000248,Recetas prescritas,1,1,2021-02-19,0,
DOC-0000070,SIN-000248,Cédula del asegurado,1,1,2021-02-20,0,
DOC-0000071,SIN-006272,Parte policial,1,0,2025-08-03,0,
DOC-0000072,SIN-006272,Fotografías del daño,1,1,2025-08-06,0,
DOC-0000073,SIN-006272,Proforma de reparación,0,1,2025-08-06,0,
DOC-0000074,SIN-006272,Copia matrícula,1,1,2025-08-04,0,
DOC-0000075,SIN-006272,Cédula del asegurado,1,1,2025-08-05,0,
DOC-0000076,SIN-003995,Historia clínica,1,1,2023-08-14,0,
DOC-0000077,SIN-003995,Facturas médicas,1,1,2023-08-14,0,
DOC-0000078,SIN-003995,Informe médico,1,1,2023-08-19,0,
DOC-0000079,SIN-003995,Recetas prescritas,1,0,2023-08-18,1,
DOC-0000080,SIN-003995,Cédula del asegurado,1,1,2023-08-17,0,
DOC-0000081,SIN-000840,Parte policial,1,1,2025-07-07,0,
DOC-0000082,SIN-000840,Fotografías del daño,1,1,2025-07-07,0,
DOC-0000083,SIN-000840,Proforma de reparación,1,1,2025-07-06,0,
DOC-0000084,SIN-000840,Copia matrícula,1,1,2025-07-07,0,
DOC-0000085,SIN-000840,Cédula del asegurado,1,1,2025-07-06,0,
DOC-0000086,SIN-010506,Certificado de defunción,1,1,2025-02-10,0,
DOC-0000087,SIN-010506,Informe médico causa muerte,1,1,2025-02-11,0,
DOC-0000088,SIN-010506,Cédula beneficiario,1,1,2025-02-11,0,
DOC-0000089,SIN-010506,Póliza original,1,1,2025-02-07,0,
DOC-0000090,SIN-010552,Certificado de defunción,1,1,2022-09-29,0,
DOC-0000091,SIN-010552,Informe médico causa muerte,0,0,2022-09-29,0,
DOC-0000092,SIN-010552,Cédula beneficiario,1,1,2022-09-28,0,
DOC-0000093,SIN-010552,Póliza original,1,1,2022-09-25,0,
DOC-0000094,SIN-005826,Certificado de defunción,1,1,2023-11-22,0,
DOC-0000095,SIN-005826,Informe médico causa muerte,1,1,2023-11-21,0,
