id_poliza,id_asegurado,ramo,fecha_inicio,fecha_fin,prima,suma_asegurada,deducible,canal_venta,ciudad,estado_poliza,duracion_meses
POL-000001,AS-02243,Salud,2024-01-31,2025-01-25,1101.114229370993,19205.523105175645,662.4353646354489,Agente,Quito,Vencida,12
POL-000002,AS-05696,Salud,2024-01-12,2024-07-10,2302.1837157190976,12201.059790952138,241.15545993717328,Agente,Cuenca,Vencida,6
POL-000003,AS-04413,Salud,2020-10-18,2021-10-13,3670.7667159920793,77887.78918190698,166.14372429668208,Agente,Quito,Vencida,12
POL-000004,AS-03633,Vehículos,2024-10-05,2025-09-30,542.4233984411951,12516.473888343065,1278.6150423400015,Agente,Guayaquil,Vigente,12
POL-000005,AS-00948,Vida,2023-03-19,2024-03-13,597.7982653348674,75561.85898520939,17.142673289082396,Digital,Latacunga,Vencida,12
POL-000006,AS-00948,Hogar,2024-12-11,2025-12-06,256.53125350423505,39595.58051577402,882.8832189190797,Agente,Manta,Vigente,12
POL-000007,AS-00349,Hogar,2020-08-28,2021-08-23,727.5215808620162,54033.39182551498,631.959018840186,Agente,Portoviejo,Vencida,12
POL-000008,AS-05207,Hogar,2024-05-17,2025-05-12,928.698913652989,42534.45381436022,1126.0793721763698,Corredor,Quito,Vencida,12
POL-000009,AS-03650,Hogar,2023-07-08,2024-07-02,1265.2948671700112,95574.51620625063,672.977177466162,Corredor,Loja,Vencida,12
POL-000010,AS-04278,Vehículos,2022-02-26,2024-02-16,2288.4514601354986,29485.39477148613,1057.5934377943067,Agente,Ambato,Vencida,24
POL-000011,AS-00126,Hogar,2023-12-14,2024-12-08,1141.4150530062784,70973.924886245,1645.6898374631796,Corredor,Quito,Vencida,12
POL-000012,AS-05817,Salud,2024-07-23,2026-07-13,2278.0768290035135,18416.953843073312,171.19462907102167,Agente,Guayaquil,Vigente,24
POL-000013,AS-05002,Salud,2024-12-23,2025-12-18,1931.2957413112513,63413.18055634658,365.5650363629521,Digital,Manta,Vigente,12
POL-000014,AS-01290,Salud,2024-09-10,2025-09-05,2638.6896318266295,58229.59873933568,258.15624880942045,Bancaseguros,Tulcán,Vigente,12
POL-000015,AS-01110,Vehículos,2021-04-15,2022-04-10,2034.8207488566688,24473.92318651502,913.5710672220679,Agente,Quito,Vencida,12
POL-000016,AS-01118,Hogar,2021-10-02,2022-09-27,835.7827608176967,37333.49963883361,942.7439021314248,Digital,Loja,Vencida,12
POL-000017,AS-01818,Generales,2021-12-23,2023-12-13,1859.5083842300483,19113.87960044866,4623.497994019206,Bancaseguros,Machala,Vencida,24
POL-000018,AS-03175,Vida,2022-02-26,2022-08-25,2907.0398931600475,34631.102061024576,0.0,Agente,Guayaquil,Vencida,6
POL-000019,AS-02612,Vehículos,2024-08-13,2025-08-08,1671.9320616464188,80850.38387699207,449.8446761355586,Digital,Guayaquil,Vigente,12
POL-000020,AS-01747,Salud,2021-02-06,2023-01-27,2864.150241116797,28928.031104540583,367.9205140608815,Bancaseguros,Santo Domingo,Vencida,24
POL-000021,AS-03713,Salud,2024-08-28,2025-08-23,1548.6177647850768,14634.481523810395,115.61276507410872,Agente,Cuenca,Vigente,12
POL-000022,AS-00851,Salud,2025-01-02,2025-12-28,1362.839497370468,89936.371645566,825.5056900468051,Agente,Manta,Vigente,12
POL-000023,AS-01751,Vehículos,2021-04-12,2022-04-07,2366.092014266037,45228.302716166036,855.677618172782,Corredor,Cuenca,Vencida,12
POL-000024,AS-02191,Vida,2022-12-02,2023-05-31,1227.0532719410185,91317.50759251506,0.0,Agente,Esmeraldas,Vencida,6
POL-000025,AS-02761,Vehículos,2024-12-29,2025-12-24,1153.4943648369886,27580.883409907176,1279.3846975950328,Corredor,Manta,Vigente,12
POL-000026,AS-04720,Vehículos,2023-10-10,2024-10-04,1325.0885785133933,70296.36176070756,249.25578476804793,Agente,Quito,Vencida,12
POL-000027,AS-01215,Hogar,2022-04-21,2023-04-16,1212.7827712414942,112745.14343037967,1891.5910660240183,Agente,Riobamba,Vencida,12
POL-000028,AS-03112,Vehículos,2023-02-01,2024-01-27,2328.300449009332,17378.95669647244,178.36114775432966,Corredor,Quito,Vencida,12
POL-000029,AS-03595,Hogar,2021-06-06,2022-06-01,1401.1285703012693,113692.37544140623,1328.4971876991713,Digital,Riobamba,Vencida,12
POL-000030,AS-00281,Vehículos,2022-02-01,2024-01-22,1890.637526888581,9595.628520032877,681.005590145893,Agente,Riobamba,Vencida,24
POL-000031,AS-03685,Salud,2022-06-27,2023-06-22,846.1341592811659,26391.600209633285,548.1733273748614,Digital,Portoviejo,Vencida,12
POL-000032,AS-01037,Vehículos,2023-12-15,2025-12-04,1719.3590998353477,8340.215476191303,247.6301913521552,Agente,Quito,Vigente,24
POL-000033,AS-00390,Salud,2021-07-31,2022-07-26,3033.0017624029565,32814.69909306076,343.43905637237975,Agente,Quito,Vencida,12
POL-000034,AS-05684,Vehículos,2024-12-05,2025-11-30,303.54071121894617,52802.34729505266,994.673876287055,Agente,Santo Domingo,Vigente,12
POL-000035,AS-05788,Vehículos,2024-12-13,2026-12-03,2326.284306307712,32393.97951022436,376.9166900102449,Agente,Tulcán,Vigente,24
POL-000036,AS-04864,Vida,2021-09-01,2023-08-22,1666.8848655194472,148566.80599697915,56.107086695976214,Corredor,Quito,Vencida,24
POL-000037,AS-01822,Hogar,2023-11-08,2025-10-28,353.71573950336824,25016.28747037566,1264.210196151738,Agente,Latacunga,Vigente,24
POL-000038,AS-00596,Salud,2021-10-12,2022-10-07,3156.967526671659,53150.44984885863,278.3658942406593,Digital,Ambato,Vencida,12
POL-000039,AS-04142,Vehículos,2025-02-01,2026-01-27,287.3592167074532,62676.0073318567,993.1083593532279,Corredor,Tulcán,Vigente,12
POL-000040,AS-02663,Vida,2025-04-13,2026-04-08,697.6702761012451,202964.56942106094,0.0,Corredor,Guayaquil,Vigente,12
POL-000041,AS-00740,Vehículos,2022-03-28,2023-03-23,648.9169885213464,14470.038017045003,610.2223977437449,Agente,Machala,Vencida,12
POL-000042,AS-02996,Vida,2024-02-27,2026-02-16,2191.9923340644923,139278.11605039725,51.626944915056086,Digital,Quito,Vigente,24
POL-000043,AS-00207,Salud,2021-02-18,2023-02-08,1118.9720085568842,89636.54327476711,660.9332199683123,Digital,Cuenca,Vencida,24
POL-000044,AS-05465,Vida,2021-03-16,2021-09-12,2761.460230089359,165393.5734534794,0.0,Digital,Quito,Vencida,6
POL-000045,AS-01555,Salud,2024-06-10,2025-06-05,3034.808997051331,20292.755277487737,712.7611565966142,Digital,Ambato,Vigente,12
POL-000046,AS-04013,Vehículos,2023-08-16,2024-08-10,2029.4099184685813,72014.55498491735,522.9339178843082,Digital,Quito,Vencida,12
POL-000047,AS-01872,Vehículos,2020-12-31,2021-06-29,893.0171959314395,52108.57137137149,674.1567831238611,Agente,Santo Domingo,Vencida,6
POL-000048,AS-03145,Salud,2023-11-15,2024-11-09,1270.9341976467822,94579.45824346131,220.00151035563923,Bancaseguros,Ambato,Vencida,12
POL-000049,AS-03315,Vehículos,2021-12-08,2022-12-03,2507.676452081946,13142.987502829355,1403.0582575855024,Digital,Riobamba,Vencida,12
POL-000050,AS-01129,Vehículos,2020-10-24,2021-10-19,1353.7204107875018,59105.596761633344,1088.6425442526647,Agente,Guayaquil,Vencida,12
POL-000051,AS-05814,Vehículos,2023-06-26,2024-06-20,1698.0162433910273,52979.35936804735,426.25898573810844,Agente,Manta,Vencida,12
POL-000052,AS-04658,Salud,2021-06-05,2022-05-31,1574.3227185503658,20698.024076150654,386.5136951258546,Corredor,Quito,Vencida,12
POL-000053,AS-05634,Salud,2023-08-25,2024-08-19,1913.6223835437,83954.41036473021,235.33344588627767,Bancaseguros,Esmeraldas,Vencida,12
POL-000054,AS-05382,Vida,2022-11-10,2023-11-05,1597.013290535679,57608.27618317907,0.0,Corredor,Quito,Vencida,12
POL-000055,AS-03627,Hogar,2024-11-10,2025-11-05,598.2478124169197,83337.57151025864,1371.696181653462,Digital,Manta,Vigente,12
POL-000056,AS-05534,Salud,2025-03-13,2026-03-08,792.3850058293224,99933.34278231095,501.2549456222511,Agente,Santo Domingo,Vigente,12
