id_proveedor,nombre,tipo,ciudad,reclamos_asociados,monto_promedio_reclamado,porcentaje_casos_observados,antiguedad_anios,en_lista_restrictiva,activo
PROV-0092,Centro Médico Integral #092,Hospital,Santo Domingo,30,2832.5519966378197,7.811144682411266,15.978494308322675,0,1
PROV-0023,Asistencia Vial Nacional #023,Abogado / gestor,Santo Domingo,8,4174.435521604016,13.001249954092454,14.938917337911187,0,1
PROV-0193,Clínica del Valle #193,Clínica,Loja,11,1735.904648683701,2.2104873994363663,7.73480296005283,0,1
PROV-0075,Centro Automotriz Andino #075,Taller mecánico,Riobamba,17,5313.432239080256,5.8939611875294835,9.277818929402475,0,1
PROV-0188,Hospital Los Andes #188,Clínica,Loja,2,2594.5096594827983,5.999869057041513,2.1067174516118503,0,1
PROV-0170,Mecánica Veloz #170,Taller mecánico,Machala,20,2355.284213718167,10.245699864694998,12.138397906279032,0,1
PROV-0013,Centro Médico Integral #013,Clínica,Riobamba,45,6499.388838039643,58.16475914123481,2.913105400448213,1,1
PROV-0044,PeritajeEcuador #044,Perito independiente,Machala,35,353.4422750412419,12.015241029957414,19.07767264834429,0,1
PROV-0038,Grúas del Pacífico #038,Grúa / asistencia,Santo Domingo,32,776.1252840683304,3.0405912634237975,2.710639875547861,0,1
PROV-0191,Mecánica Veloz #191,Taller mecánico,Guayaquil,39,3080.0555119252626,2.228877668117498,5.948022155744591,0,1
PROV-0139,Colisiones del Norte #139,Taller mecánico,Loja,15,3422.636190395406,9.92322975617778,9.22718282817703,0,1
PROV-0051,Farmacia Central #051,Grúa / asistencia,Manta,6,2447.466797784453,6.1507158163242615,13.772207664544773,0,1
PROV-0148,Mecánica Veloz #148,Taller mecánico,Riobamba,24,4687.881659533107,0.0,1.33998431315991,0,1
PROV-0081,Taller San Andrés #081,Taller mecánico,Ambato,10,2985.97433533068,7.655353643797017,7.337255476350812,0,1
PROV-0164,Taller AutoFix #164,Taller mecánico,Cuenca,31,1701.4792299356448,3.264628023959183,21.022875989808412,0,1
PROV-0192,TécnicosPericiales Cia. #192,Perito independiente,Manta,9,763.2657802990965,8.003026926886893,7.064610590987614,0,1
PROV-0171,Clínica Pichincha #171,Clínica,Machala,5,4961.495544689438,12.902303951045047,8.954697397302446,0,1
PROV-0123,MedExpress #123,Hospital,Quito,36,1034.3851509418348,4.531349268585717,4.862883311949346,0,1
PROV-0063,Centro de Salud Andina #063,Hospital,Ambato,0,1982.7748794045979,5.558594368127653,8.640504615868357,0,1
PROV-0091,Centro Médico Integral #091,Hospital,Riobamba,25,1309.3181120138488,7.9350369628202175,14.411942012139566,0,1
PROV-0142,Gestoría Legal Express #142,Grúa / asistencia,Santo Domingo,31,6346.110379093413,18.921495849763975,3.204762772277344,0,1
PROV-0137,Asistencia 24h #137,Grúa / asistencia,Manta,27,5327.87800388894,14.91068168488641,15.335734178567998,0,1
PROV-0052,Asistencia Vial Nacional #052,Abogado / gestor,Cuenca,16,5407.646992016277,14.102071703041853,19.541012248237518,0,1
PROV-0173,MedCenter #173,Clínica,Guayaquil,18,3761.2200986108655,7.543141901908711,7.272710023077488,0,1
PROV-0106,Grúas del Pacífico #106,Farmacia,Ambato,14,952.1593101219058,12.790751899170296,2.996593313319699,0,1
PROV-0136,Asistencia 24h #136,Abogado / gestor,Riobamba,3,4027.4834292064393,6.237263115064698,17.244392161784408,0,1
PROV-0082,Taller AutoFix #082,Taller mecánico,Ibarra,3,2990.3301333459403,9.27015307883979,4.90519758987071,0,1
PROV-0122,Inspecciones Andinas #122,Perito independiente,Santo Domingo,4,1295.4365147581818,6.772102919996879,9.437106539950175,0,1
PROV-0032,Mecánica Total #032,Taller mecánico,Cuenca,14,5095.566373857802,3.2168489736991757,5.927862456144347,0,1
PROV-0181,PeritajeEcuador #181,Perito independiente,Quito,33,1578.122143014452,2.7825210271537713,2.847095759235474,0,1
PROV-0095,Clínica Santa María #095,Clínica,Ambato,37,4139.83985875847,1.7334829746684495,6.25376768514259,0,1
PROV-0008,Gestoría Legal Express #008,Grúa / asistencia,Ibarra,109,13233.966714931319,38.22153564447979,6.664775159730307,1,1
PROV-0028,Centro Automotriz Andino #028,Taller mecánico,Riobamba,8,4433.188463039847,12.661186331110883,4.620996050710506,0,1
PROV-0115,Hospital San Francisco #115,Clínica,Ambato,29,2704.1613580180897,10.435084511591924,10.08655946502629,0,1
PROV-0110,Clínica Santa María #110,Hospital,Cuenca,30,4682.802000513716,10.004714104192056,0.1,0,1
PROV-0179,Centro Médico Integral #179,Hospital,Santo Domingo,15,479.7695681474272,4.24818956083955,0.17257166406711533,0,1
PROV-0121,Taller AutoFix #121,Taller mecánico,Ambato,26,4700.416226160329,15.657231091142584,7.211585291980957,0,1
PROV-0103,Mecánica Veloz #103,Taller mecánico,Cuenca,28,892.9982727496126,0.0,12.936658983594203,0,1
PROV-0001,Clínica Pichincha #001,Hospital,Quito,53,5866.169723058369,64.69323512128969,14.355019550129473,1,1
PROV-0168,Mecánica Express #168,Taller mecánico,Quito,31,5348.232101708536,6.288904602206763,1.0524606139681918,0,1
PROV-0043,Mecánica Total #043,Taller mecánico,Loja,17,2310.94786735547,3.1681308978786147,17.532107650354934,0,1
PROV-0141,AutoPro Service #141,Taller mecánico,Riobamba,30,1745.2898120053333,0.034610503811813784,13.734510762644696,0,1
PROV-0102,Mecánica Total #102,Taller mecánico,Quito,8,1910.6239571744802,10.465115799920246,14.170204324318199,0,1
PROV-0070,MedExpress #070,Clínica,Riobamba,35,3853.9884473839984,14.121759920974425,12.748428523440946,0,1
PROV-0003,Clínica Santa María #003,Hospital,Santo Domingo,79,9659.814097755345,68.7910609989903,8.577128467957028,1,1
PROV-0009,Colisiones del Norte #009,Taller mecánico,Ambato,110,10769.230265978162,63.73934509766008,14.063638215126163,1,1
PROV-0133,Servicios Profesionales #133,Abogado / gestor,Loja,28,847.7388244800136,14.433196492193696,16.151556678529214,0,1
PROV-0120,AutoPro Service #120,Taller mecánico,Riobamba,28,4776.044899006842,6.42024042734529,6.072852566741093,0,1
PROV-0128,Mecánica Veloz #128,Taller mecánico,Ibarra,33,1983.7905612761801,0.0,6.9845327348956605,0,1
PROV-0046,Centro Médico Integral #046,Hospital,Ambato,10,4479.2913826992935,0.981572956222097,6.348103182406709,0,1
PROV-0083,Servicios Profesionales #083,Abogado / gestor,Loja,5,4453.379036926344,9.674641805453657,5.824478047472673,0,1
PROV-0126,Clínica Pichincha #126,Clínica,Ambato,30,6157.580562423541,5.610284641002477,9.16328251477388,0,1
PROV-0002,Taller AutoFix #002,Taller mecánico,Ibarra,34,6652.508445097048,55.72854790732892,0.9655556547225848,1,1
PROV-0015,Hospital San Francisco #015,Clínica,Guayaquil,40,5529.098597554727,43.208093031035695,14.646737045629164,1,1
PROV-0059,Clínica Pichincha #059,Clínica,Machala,5,4010.370639908115,0.0,5.48667990162493,0,1
PROV-0117,MedCenter #117,Hospital,Quito,19,3497.820485003145,9.814254335475312,20.029609217007245,0,1
PROV-0124,Taller San Andrés #124,Taller mecánico,Machala,9,2202.4863862543634,0.0,16.106964645956474,0,1
PROV-0077,Centro Automotriz Andino #077,Taller mecánico,Ibarra,26,3248.6934156760567,8.929515355161252,17.087937456445,0,1
PROV-0127,Mecánica Express #127,Taller mecánico,Manta,33,4654.924798962613,0.8927013893056359,18.599042380383928,0,1
PROV-0084,Asistencia 24h #084,Abogado / gestor,Manta,41,1213.8410931078226,0.0,16.827819794038028,0,1
PROV-0108,Servicios Profesionales #108,Grúa / asistencia,Ibarra,39,613.4948179164552,18.32945026583278,6.213168996559882,0,1
PROV-0199,MedExpress #199,Hospital,Quito,36,4003.518885924726,4.8705271039434574,9.026570529379805,0,1
PROV-0027,AutoCenter Premium #027,Taller mecánico,Quito,0,4357.203456651401,0.0,4.983623364892001,0,1
PROV-0004,PeritajeEcuador #004,Perito independiente,Cuenca,65,6352.579602984672,45.127959821468444,13.828287614433117,1,1
PROV-0045,Asistencia 24h #045,Abogado / gestor,Guayaquil,10,1784.634658454146,13.075343900618341,18.44357710866142,0,1
PROV-0072,Clínica del Valle #072,Clínica,Manta,20,4374.085838324425,7.358060800933554,16.953215113845946,0,1
PROV-0029,Clínica Moderna #029,Clínica,Riobamba,12,906.0302826425686,11.12833340008685,16.07251139128957,0,1
PROV-0012,MedExpress #012,Clínica,Guayaquil,99,12607.29057187668,50.715015420094616,5.351996494291344,1,1
PROV-0056,Mecánica Total #056,Taller mecánico,Guayaquil,18,2250.8912206266145,6.538997704778945,18.07451509580349,0,1
PROV-0019,Asistencia 24h #019,Abogado / gestor,Cuenca,36,13599.281535504462,47.24836351871064,10.94575342596123,1,1
PROV-0066,Inspecciones Andinas #066,Perito independiente,Manta,10,470.87180270118097,3.1498966056967124,16.823042596248815,0,1
PROV-0187,AutoCenter Premium #187,Taller mecánico,Quito,31,1208.0241422363003,1.0961576705288305,9.163304883795924,0,1
PROV-0035,Asistencia 24h #035,Abogado / gestor,Ambato,29,2037.928016677514,7.369617875602896,18.42865620295983,0,1
PROV-0176,Clínica Moderna #176,Clínica,Ibarra,7,5822.847754241804,11.733748534889049,17.2142795670021,0,1
PROV-0200,MedCenter #200,Clínica,Quito,16,5610.074578113876,4.589935427002567,8.59624415264109,0,1
PROV-0196,Mecánica Veloz #196,Taller mecánico,Loja,6,3041.538215673178,9.001927920887244,3.011091656204562,0,1
PROV-0016,Clínica Santa María #016,Hospital,Ibarra,84,9680.207468036477,79.85311392611153,7.344712077267086,1,1
PROV-0067,MedExpress #067,Hospital,Guayaquil,36,1366.0163288117406,11.022500309087073,10.276135221711812,0,1
PROV-0183,AutoPro Service #183,Taller mecánico,Machala,6,1857.450148064784,16.057761616910476,1.9678391965737305,0,1
PROV-0071,MedExpress #071,Hospital,Santo Domingo,32,2786.9625249330984,4.639149822869154,9.43577754749708,0,1
PROV-0098,Mecánica Total #098,Taller mecánico,Machala,35,3345.1394102407708,6.144164817038467,8.060836032021617,0,1
PROV-0062,MedCenter #062,Clínica,Ambato,13,2785.813092453649,12.188919118799149,10.735474114391387,0,1
PROV-0007,Clínica del Valle #007,Hospital,Guayaquil,56,13372.85041484588,76.08710735948485,1.137739866860113,1,1
PROV-0184,Centro Médico Integral #184,Hospital,Ibarra,31,890.0405083666519,6.8069272717344464,6.044687280613958,0,1
PROV-0018,Mecánica Veloz #018,Taller mecánico,Ibarra,23,16012.010196694828,72.8872985094314,2.9889360955540276,1,1
PROV-0078,Asistencia 24h #078,Grúa / asistencia,Riobamba,26,2768.6941148508517,2.9554925808046515,5.1564992150861935,0,1
PROV-0160,Servicios Profesionales #160,Abogado / gestor,Loja,24,640.2438681894372,2.8068542315149463,10.979837300920932,0,1
PROV-0167,Clínica Pichincha #167,Hospital,Riobamba,40,563.2757704522115,9.53690399277121,10.112589596225202,0,1
PROV-0054,Farmacia Central #054,Grúa / asistencia,Manta,5,2515.3398758999037,3.9742832701451296,6.055479984101746,0,1
PROV-0068,Hospital Los Andes #068,Clínica,Cuenca,2,5220.399767764174,14.663279513898901,13.52213165574302,0,1
PROV-0172,Inspecciones Andinas #172,Perito independiente,Manta,15,2631.0728524042547,12.384054717366766,8.719516917090461,0,1
PROV-0049,Centro de Salud Andina #049,Hospital,Guayaquil,11,3325.8067916472114,15.459888277780053,2.579664901682124,0,1
PROV-0151,Evaluaciones Profesionales #151,Perito independiente,Loja,28,5617.9133999038,2.254736615295237,15.659468336200051,0,1
PROV-0060,TécnicosPericiales Cia. #060,Perito independiente,Manta,4,5951.081076950614,12.077431597343473,7.907967803472132,0,1
PROV-0111,Mecánica Veloz #111,Taller mecánico,Ambato,29,718.3176484377626,6.546248154539315,14.496550628984192,0,1
PROV-0074,Taller San Andrés #074,Taller mecánico,Cuenca,7,4176.69321371206,2.077820087369317,4.845226780343005,0,1
PROV-0114,Expertos en Daños #114,Perito independiente,Machala,29,1054.1967173167288,8.225507691347088,18.66306651112106,0,1
PROV-0048,Taller San Andrés #048,Taller mecánico,Loja,17,1239.7809430490377,6.2193226438327835,14.874443211807348,0,1
PROV-0177,Mecánica Total #177,Taller mecánico,Santo Domingo,31,1642.3429497975826,0.0,5.06201350960345,0,1
PROV-0061,Reparaciones Rápidas #061,Taller mecánico,Guayaquil,19,3291.0446891520737,7.234400538071328,14.407548931778505,0,1
PROV-0129,Farmacia Central #129,Farmacia,Machala,29,5015.125319640291,8.552355095063284,19.73863848974048,0,1
PROV-0112,Expertos en Daños #112,Perito independiente,Machala,12,2647.0132287520996,12.01883328094026,13.924504612918446,0,1
PROV-0069,Pericias Técnicas SA #069,Perito independiente,Manta,33,3058.0784618675507,5.6028648523617175,3.54782815472862,0,1
PROV-0030,Hospital Los Andes #030,Clínica,Riobamba,2,4264.471101250573,15.925938473381143,16.59576935181822,0,1
PROV-0140,Centro Automotriz Andino #140,Taller mecánico,Guayaquil,24,3828.3448888185744,2.298714861756346,11.621685413238048,0,1
PROV-0198,Farmacia Central #198,Farmacia,Guayaquil,6,3827.8747611775366,6.625749232470607,13.40300497567282,0,1
PROV-0190,Clínica Moderna #190,Clínica,Loja,43,3109.2519770593235,9.115212151522263,3.259785323751858,0,1
PROV-0194,AutoPro Service #194,Taller mecánico,Cuenca,5,1270.9900602450025,9.872018460640367,16.177397090992184,0,1
PROV-0165,Mecánica Veloz #165,Taller mecánico,Loja,16,3756.48198451765,0.29704325588965397,14.859035296058138,0,1
PROV-0079,TécnicosPericiales Cia. #079,Perito independiente,Ibarra,29,5485.368582886467,13.038099767177924,15.44822818414502,0,1
PROV-0118,MedExpress #118,Clínica,Riobamba,8,5917.475130519243,7.040913651559678,18.505508733601307,0,1
PROV-0031,AutoPro Service #031,Taller mecánico,Loja,6,1811.688671949584,2.799523781101726,16.051643444064805,0,1
PROV-0119,Asistencia Vial Nacional #119,Abogado / gestor,Riobamba,22,2217.9380792917486,1.1221039062671805,7.027540456595525,0,1
PROV-0132,TécnicosPericiales Cia. #132,Perito independiente,Ibarra,14,3250.4145795897657,0.0,8.199568057176036,0,1
PROV-0145,Taller AutoFix #145,Taller mecánico,Ibarra,36,5572.3201491383725,10.546457338863334,5.8811826487875765,0,1
PROV-0053,Asistencia 24h #053,Grúa / asistencia,Quito,22,4764.598494231765,7.710782451651513,4.551650941008261,0,1
PROV-0006,Clínica Moderna #006,Clínica,Ibarra,61,13482.720256634471,63.80183437524876,2.0571138243310196,1,1
PROV-0057,Mecánica Veloz #057,Taller mecánico,Quito,14,1297.395902874544,12.444889510402898,2.775150880730939,0,1
PROV-0147,Taller AutoFix #147,Taller mecánico,Manta,11,3943.9146427835585,13.79866461085845,12.418193893893072,0,1
PROV-0159,Mecánica Express #159,Taller mecánico,Loja,30,5680.951059611844,14.302774246743578,4.671527188139467,0,1
PROV-0116,TécnicosPericiales Cia. #116,Perito independiente,Machala,7,1612.653295716893,6.761189437757256,5.55390088444603,0,1
PROV-0104,Hospital Los Andes #104,Clínica,Riobamba,2,1790.8827718824052,13.98672038475987,6.244915803671687,0,1
PROV-0146,Gestoría Legal Express #146,Grúa / asistencia,Riobamba,21,4528.549551778143,2.174752482108307,16.025907288947142,0,1
PROV-0175,Hospital Los Andes #175,Clínica,Cuenca,35,6354.6100912036145,9.541197337186318,11.671632047011359,0,1
PROV-0089,Pericias Técnicas SA #089,Perito independiente,Machala,24,3168.813605200951,8.373481686914968,15.88543271906397,0,1
PROV-0107,Centro Médico Integral #107,Hospital,Machala,38,2318.310018767398,9.990235798670962,4.808008331823661,0,1
PROV-0152,Servicios Profesionales #152,Grúa / asistencia,Ibarra,34,2523.020089221389,8.644915124233675,19.409216966532696,0,1
PROV-0042,Mecánica Veloz #042,Taller mecánico,Machala,5,745.9944616280432,3.296169893322764,20.173790852680835,0,1
PROV-0138,Servicios Profesionales #138,Grúa / asistencia,Riobamba,20,5619.577671271103,1.2194450034429636,3.4301201598453193,0,1
PROV-0156,AutoCenter Premium #156,Taller mecánico,Quito,18,6164.564457815783,0.0,18.610847637298843,0,1
PROV-0161,Servicios Profesionales #161,Abogado / gestor,Riobamba,10,3955.296535108415,10.277184917554749,2.397922627548841,0,1
PROV-0186,Mecánica Veloz #186,Taller mecánico,Manta,14,4464.206588282805,8.17695987546208,5.910813611192484,0,1
PROV-0010,Clínica Pichincha #010,Clínica,Manta,70,6629.432181206733,76.46784040270536,3.904126377857236,1,1
PROV-0130,AutoCenter Premium #130,Taller mecánico,Santo Domingo,25,2797.425267539257,2.3779676004750865,14.54870819788108,0,1
PROV-0026,Taller AutoFix #026,Taller mecánico,Guayaquil,36,3625.916510516593,7.496327784395683,7.614577818662822,0,1
PROV-0076,Gestoría Legal Express #076,Abogado / gestor,Quito,40,2450.0218691348937,0.19479734263282805,17.43629874120652,0,1
PROV-0020,Clínica Pichincha #020,Clínica,Manta,43,9302.375813456492,68.27917326943209,3.6280148671569377,1,1
PROV-0040,Reparaciones Rápidas #040,Taller mecánico,Machala,20,5537.3947559385015,2.3308889115403493,11.991345491972757,0,1
PROV-0036,Servicios Profesionales #036,Abogado / gestor,Santo Domingo,33,1206.7512687824121,6.512585618428881,14.23273722223129,0,1
