id_asegurado,segmento,ciudad,antiguedad_anios,n_polizas,reclamos_12m,total_siniestros_hist,mora_actual,score_cliente,perfil_riesgo
AS-00001,Empresa pequeña,Guayaquil,4.5,3,0,2,0,88.88357076505616,bajo
AS-00002,Particular,Quito,10.2,1,0,0,0,90.30867849414408,bajo
AS-00003,Particular,Santo Domingo,0.2,1,0,0,0,77.93844269050346,bajo
AS-00004,Particular,Guayaquil,6.9,2,0,0,0,93.71514928204012,bajo
AS-00005,Particular,Manta,17.7,2,0,0,0,70.22923312638332,bajo
AS-00006,Empresa pequeña,Machala,17.3,5,3,8,1,13.029315215254096,alto
AS-00007,Particular,Loja,13.7,1,0,2,0,68.99606407753696,medio
AS-00008,Particular,Tulcán,13.8,1,0,0,0,97.13717364576453,bajo
AS-00009,Empresa mediana,Guayaquil,1.4,3,0,3,0,63.352628070325245,medio
AS-00010,Particular,Ibarra,10.8,3,0,0,0,84.71280021792982,bajo
AS-00011,Empresa grande,Cuenca,15.1,1,0,1,0,88.0829115359377,bajo
AS-00012,Particular,Babahoyo,10.6,3,1,2,0,89.2713512321487,bajo
AS-00013,Empresa mediana,Riobamba,6.9,3,1,2,0,68.90981135783018,medio
AS-00014,Empresa grande,Cuenca,2.2,3,2,3,0,36.233598776711005,medio
AS-00015,Empresa pequeña,Riobamba,10.7,1,0,1,0,64.77541083743485,bajo
AS-00016,Empresa mediana,Guayaquil,1.3,1,0,4,0,39.188562353795135,medio
AS-00017,Empresa pequeña,Cuenca,11.0,2,1,2,0,93.8358443983279,bajo
AS-00018,Empresa pequeña,Loja,8.0,3,1,1,0,45.07123666297637,medio
AS-00019,Particular,Cuenca,11.8,1,0,0,0,72.35987962239395,bajo
AS-00020,Empresa mediana,Quito,13.4,1,0,2,0,89.43848149332354,bajo
AS-00021,Particular,Santo Domingo,3.9,1,1,0,0,59.22824384460777,medio
AS-00022,Empresa pequeña,Quito,8.1,4,5,11,0,6.371118497567322,alto
AS-00023,Particular,Guayaquil,5.1,1,1,0,0,86.83764102343962,bajo
AS-00024,Empresa pequeña,Quito,2.0,1,0,1,0,69.27625906893272,bajo
AS-00025,Empresa mediana,Quito,7.9,2,0,2,0,89.17808637737409,bajo
AS-00026,Empresa pequeña,Quito,4.4,1,0,0,0,92.95461294854934,bajo
AS-00027,Particular,Tulcán,10.7,1,2,1,0,69.84503211288848,bajo
AS-00028,Particular,Guayaquil,18.8,2,0,6,0,44.27849009172836,medio
AS-00029,Empresa pequeña,Guayaquil,13.4,2,0,0,0,87.19680655040598,bajo
AS-00030,Particular,Latacunga,0.3,6,5,6,1,1.441531251033616,alto
AS-00031,Particular,Guayaquil,1.5,1,0,2,0,91.99146693885301,bajo
AS-00032,Particular,Santo Domingo,10.6,6,2,4,1,45.861390922544686,alto
AS-00033,Particular,Ibarra,3.2,3,1,2,0,45.83251387631033,medio
AS-00034,Particular,Esmeraldas,1.1,3,0,0,0,64.81144535522048,bajo
AS-00035,Empresa pequeña,Ibarra,11.1,2,0,2,0,100.0,bajo
AS-00036,Empresa mediana,Santo Domingo,11.7,1,0,0,0,74.7957817501449,bajo
AS-00037,Empresa mediana,Quito,2.1,3,1,0,0,89.64431797502377,bajo
AS-00038,Empresa mediana,Quito,16.0,1,0,0,0,82.30164938060112,bajo
AS-00039,Empresa pequeña,Ambato,14.7,1,0,0,0,66.55906975550785,bajo
AS-00040,Empresa mediana,Santo Domingo,9.3,2,1,1,0,77.68430617934563,bajo
AS-00041,Particular,Machala,19.3,2,0,2,0,94.09233289997705,bajo
AS-00042,Particular,Machala,5.3,3,2,0,0,74.15684140594985,bajo
AS-00043,Particular,Guayaquil,19.7,1,1,3,0,46.8217585880588,medio
AS-00044,Particular,Cuenca,14.4,3,2,8,0,24.394481522053553,alto
AS-00045,Empresa pequeña,Quito,18.0,3,1,5,0,52.807390048162866,medio
AS-00046,Particular,Latacunga,13.6,1,0,0,0,82.80077895802646,bajo
AS-00047,Particular,Riobamba,12.2,2,0,1,0,74.09680614520107,bajo
AS-00048,Empresa pequeña,Ibarra,13.2,4,3,6,1,18.385611131094578,alto
AS-00049,Empresa pequeña,Quito,0.6,1,1,1,0,94.8180914478423,bajo
AS-00050,Particular,Quito,14.0,4,0,0,0,51.08479922318633,medio
AS-00051,Empresa pequeña,Santo Domingo,13.9,2,0,1,0,97.12041984697397,bajo
AS-00052,Particular,Cuenca,11.2,2,2,2,0,86.47458859791843,bajo
AS-00053,Empresa mediana,Esmeraldas,9.0,1,0,0,0,74.4153899984702,bajo
AS-00054,Empresa mediana,Riobamba,9.7,1,0,0,0,81.65838144420434,bajo
AS-00055,Particular,Quito,3.1,4,1,3,0,47.05499761247975,medio
AS-00056,Particular,Quito,16.7,2,1,2,0,95.556400595581,bajo
AS-00057,Particular,Guayaquil,15.1,2,0,0,0,89.80391238388681,bajo
AS-00058,Particular,Cuenca,7.8,3,0,1,0,73.45393812074393,bajo
AS-00059,Empresa mediana,Cuenca,18.1,6,5,4,0,26.756317157017822,alto
AS-00060,Empresa mediana,Guayaquil,6.6,2,0,1,0,86.2777256356118,bajo
AS-00061,Particular,Quito,10.8,2,0,0,0,96.30412881077355,bajo
AS-00062,Empresa pequeña,Quito,0.5,3,2,5,1,3.5717051166809144,alto
AS-00063,Particular,Guayaquil,12.2,3,0,0,0,69.36832512996986,bajo
AS-00064,Particular,Guayaquil,13.6,2,1,2,0,66.31896687959664,bajo
AS-00065,Empresa mediana,Loja,6.1,3,0,0,0,100.0,bajo
AS-00066,Particular,Guayaquil,10.2,2,0,1,0,91.48120014285412,bajo
AS-00067,Empresa grande,Santo Domingo,14.2,4,0,5,0,58.53994939209833,medio
AS-00068,Empresa mediana,Cuenca,8.8,3,0,0,0,82.41766448946012,bajo
AS-00069,Particular,Ibarra,11.4,3,0,0,0,97.30818012523817,bajo
AS-00070,Particular,Guayaquil,5.7,3,0,0,0,67.07440122697437,bajo
AS-00071,Particular,Cuenca,15.2,4,1,1,0,64.80697802754207,medio
AS-00072,Particular,Quito,13.3,2,0,2,0,90.49018283232985,bajo
AS-00073,Empresa pequeña,Guayaquil,6.2,1,0,2,0,73.42086980445023,bajo
AS-00074,Empresa grande,Quito,14.8,3,1,2,1,63.023218279070036,medio
AS-00075,Empresa grande,Guayaquil,7.3,3,0,0,0,34.901274479551276,medio
AS-00076,Empresa pequeña,Quito,17.4,4,0,4,0,52.30951252187612,medio
AS-00077,Particular,Quito,18.8,2,0,1,0,85.23523534119086,bajo
AS-00078,Empresa pequeña,Quito,11.3,2,0,1,0,85.20496324767066,bajo
AS-00079,Empresa pequeña,Quito,10.5,4,1,4,0,57.558803882677516,medio
AS-00080,Particular,Manta,14.8,2,1,2,0,32.46215542699554,medio
AS-00081,Particular,Quito,9.1,3,0,1,0,77.50164056081243,bajo
AS-00082,Empresa pequeña,Loja,18.5,3,0,0,0,77.68556285755874,bajo
AS-00083,Particular,Esmeraldas,16.5,1,0,4,1,64.68947022370757,medio
AS-00084,Empresa mediana,Guayaquil,6.2,2,1,0,0,82.20864890863176,bajo
AS-00085,Empresa pequeña,Ibarra,12.1,1,0,4,1,60.157531985534064,medio
AS-00086,Empresa pequeña,Riobamba,16.4,3,0,2,0,81.59121478207732,bajo
AS-00087,Particular,Babahoyo,8.8,2,1,1,0,86.87701058851037,bajo
AS-00088,Empresa pequeña,Guayaquil,13.9,3,0,1,0,63.743755548298424,medio
AS-00089,Particular,Guayaquil,19.4,2,1,2,0,67.3511989811648,bajo
AS-00090,Particular,Cuenca,12.5,2,0,0,0,78.66633716556677,bajo
AS-00091,Particular,Machala,9.7,1,2,0,0,77.6853877467402,bajo
AS-00092,Particular,Guayaquil,4.6,1,0,0,0,99.84322495266444,bajo
AS-00093,Empresa mediana,Loja,8.4,2,1,0,0,82.98973453061323,bajo
AS-00094,Particular,Ibarra,2.8,1,0,1,0,80.76168926701116,bajo
AS-00095,Particular,Ibarra,16.8,3,2,2,0,72.5394592343392,bajo
AS-00096,Particular,Riobamba,7.6,2,1,1,1,69.88242525933941,bajo
AS-00097,Particular,Quito,14.9,4,0,2,0,65.28060138532288,medio
AS-00098,Particular,Cuenca,11.8,1,1,0,0,87.10527636089944,bajo
AS-00099,Particular,Machala,19.4,1,0,2,1,80.22556728321231,bajo
AS-00100,Particular,Guayaquil,13.5,3,0,1,0,90.42706433312426,bajo
AS-00101,Empresa mediana,Quito,12.7,2,1,0,0,75.92314628974793,bajo
AS-00102,Empresa pequeña,Quito,3.4,3,2,2,0,60.9967733861732,medio
AS-00103,Particular,Quito,8.3,3,0,0,0,70.68642741736616,bajo
AS-00104,Empresa pequeña,Tulcán,2.9,2,0,1,0,85.9886136538919,bajo
AS-00105,Empresa mediana,Quito,8.9,3,2,3,0,67.09357144166997,medio
AS-00106,Particular,Babahoyo,17.1,1,0,1,0,89.2202542840727,bajo
AS-00107,Particular,Ambato,5.6,6,6,11,1,47.43092950605265,alto
AS-00108,Empresa pequeña,Esmeraldas,15.5,2,0,6,0,59.372889064159196,medio
AS-00109,Particular,Riobamba,13.6,2,1,3,1,59.987751953613824,medio
AS-00110,Empresa pequeña,Guayaquil,2.7,2,0,1,0,75.62777042116916,bajo
